url,name,date,country,region,number_of_players
/tournament/30FF370D-7ACF-4921-A959-6FD872A62A3B,One Up Melee 12.27.23,27 December 2023,,,
/tournament/1A101B7A-FB05-45F9-B66E-669A6FC9044F,Pho Tai Melee: #30 - $50 Pot Bonus!,22 December 2023,,,
/tournament/BB98610E-C92B-4AEF-9C67-957505E83706,Prodigious Smash Reloaded #114,22 December 2023,,,
/tournament/890DD577-E2F9-43A3-98C6-300EC1C181E4,HoG: Phoenix 5.8,21 December 2023,,,
/tournament/73163B33-FB52-4266-8993-D3540CA17B65,Buffalo Wild Wednesdays: 2023 Finale!,20 December 2023,,,
/tournament/573ED278-B5CA-46EC-B5B5-CDBDCCD1BF04,One Up Melee 12.20.23,20 December 2023,,,
/tournament/B925B428-99DB-45D3-81DE-8F596D5026EB,New Game Plus Revival 5.7,19 December 2023,,,
/tournament/AD283674-D325-423A-87AC-F1BEE9B164E3,Free Play Melee #49,18 December 2023,,,
/tournament/C2F28100-CCC2-4AA8-BA82-BFA5CCD69543,Catfish Presents: Super Smash Babies,17 December 2023,,,
/tournament/DB2923D8-72EF-4BF3-9781-CB52C064C13E,Mass Madness 44 - New England Melee Spartan 2 Qualifier,16 December 2023,,,
/tournament/CE218CAB-E3D3-4661-9715-A671FA8A4169,Prodigious Smash Reloaded #113,15 December 2023,,,
/tournament/FA1BDF11-20BA-4C92-BA3E-A34323F9C829,HoG: Phoenix 5.7,14 December 2023,,,
/tournament/D1895C0C-7C82-4E8D-AE69-622C273F8CB4,Buffalo Wild Wednesdays v1.3.2,13 December 2023,,,
/tournament/61508ADA-22F8-43F1-8585-4EEE15C8BE67,One Up Melee 12.13.23,13 December 2023,,,
/tournament/14368246-4622-42D5-95B7-1836788A86F0,New Game Plus Revival 5.6,12 December 2023,,,
/tournament/0B2D3AC3-0755-4DE0-B49A-77B564433303,FreePlay Melee #48,11 December 2023,,,
/tournament/37C3FC6A-04C7-4226-9E41-165E664848FA,ESG Melee Weekly #51,10 December 2023,,,
/tournament/521E82FD-ABE4-4611-AF5E-C06A64D199FA,SmashUMA: Dragon Dance,09 December 2023,,,
/tournament/296C968D-850C-4EA8-896D-1E9D3ABB6879,Prodigious Smash Reloaded #112,08 December 2023,,,
/tournament/6CC868AC-88B4-4B52-9932-4702DBB4A26E,HoG: Phoenix 5.6,07 December 2023,,,
/tournament/6F90AFF4-91F6-4EFA-BC4C-557282EA7AD1,Buffalo Wild Wednesdays v1.3.1,06 December 2023,,,
/tournament/6680D486-83A1-4B35-A04E-97E560A9B002,One Up Melee 12.6.23,06 December 2023,,,
/tournament/68B7DB85-8176-4390-A54A-FFDE73D6DE11,New Game Plus Celebration,05 December 2023,,,
/tournament/9458D935-4665-478F-98F3-EC57750CE222,Free Play Melee #47,04 December 2023,,,
/tournament/2C7E9CCD-C744-45E9-BC2C-0470C3E8E6D8,The Big Scone,04 December 2023,,,
/tournament/4E4F0770-F640-44FD-AD27-673EF2141DF7,SSS 18.2 - A New Hampshire Melee Monthly!,02 December 2023,,,
/tournament/34781CA5-335D-4E38-BF7B-823A3239EF2E,The ESG Monthly #20: The SSB Event,02 December 2023,,,
/tournament/D8982FCD-D844-404C-A47C-BDCAB8193FA0,Pho Tai Melee: #29 - 6 Minute Timer! - $50 Pot Bonus!,01 December 2023,,,
/tournament/8FFF9497-B12F-4719-846A-0814FB291935,Prodigious Smash Reloaded #111,01 December 2023,,,
/tournament/1CCBAA64-EB02-4AC7-B9A4-20F3F24C94C7,HoG: Phoenix 5.5,30 November 2023,,,
/tournament/1126ADD6-0689-4FE9-AB96-5F545266E4DE,Buffalo Wild Wednesdays v1.2.4,29 November 2023,,,
/tournament/066C1FF0-C4B1-4F77-9AF1-158FC43B2470,One Up Melee 11.29.23,29 November 2023,,,
/tournament/6324ABAD-DB8F-4FE1-BD55-08223961925D,New Game Plus Revival 5.5,28 November 2023,,,
/tournament/45F44EA5-5214-41DE-AAE4-6B5BF34CCA70,Melee At The Elm #12,27 November 2023,,,
/tournament/92C9DDA0-0C79-4309-9B51-976FE36B5692,ESG Melee Weekly #51,26 November 2023,,,
/tournament/FEB9B935-78CB-47AD-9A44-BD662E571B98,Super Smashed Out 13 [NE Only],25 November 2023,/assets/images/country/flag/us.png,/assets/images/country/regions/us/new_york.png,
/tournament/E0585517-99CA-4A62-AEAA-EE9B30C097F0,Pho Tai Melee: #28 - DOUBLES EDITION - $50 Pot Bonus!,24 November 2023,,,
/tournament/4E45676D-43CD-4063-AAF3-EE108820201D,Prodigious Smash Reloaded #110,24 November 2023,,,
/tournament/40208994-E98B-4D24-B1AF-BF8249C5769D,BWW v1.2.3,22 November 2023,,,
/tournament/7DBE2412-CA08-4138-B021-2B28D2325690,One Up Melee 11.22.23,22 November 2023,,,
/tournament/EDA9E70E-0C1F-44DB-86FE-CCDA07F1B573,New Game Plus Revival 5.4,21 November 2023,,,
/tournament/772AB57D-36BA-4C5C-AD78-4BAD9B0A8AB5,Free Play Melee #46,20 November 2023,,,
/tournament/77465D85-082B-4122-9D26-57F7BD493CFB,ESG Melee Weekly #50,19 November 2023,,,
/tournament/1FB8CC1A-BEC7-4570-A3A5-384209796A1F,The 11th New England Melee Arcadian,18 November 2023,,,
/tournament/8FE06691-F94E-4AE1-914C-4D12BF6105D4,Pho Tai Melee: #27 - $50 Pot Bonus!,17 November 2023,,,
/tournament/D1EFC625-422B-4114-96A5-FBC14D8008CF,Prodigious Smash Reloaded #109,17 November 2023,,,
/tournament/ECCC8F09-748A-4F4E-A48F-48DDB160C498,HoG: Phoenix 5.4,16 November 2023,,,
/tournament/96485BE3-18B6-4CEB-9F06-110676E97B42,Buffalo Wild Wednesdays v1.2.2,15 November 2023,,,
/tournament/1990F56D-5975-488E-B5E4-7CE3D0FCA359,One Up Melee 11.15.23,15 November 2023,,,
/tournament/D4530809-7E3D-44A5-B80B-C6F994A64819,New Game Plus Revival 5.3,14 November 2023,,,
/tournament/7D219C3E-B5FC-434F-8FFD-B233A9CF4758,Free Play Melee #45,13 November 2023,,,
/tournament/9E0B1C3D-C23D-4BAE-B9BD-E6F07B1AD8E2,Multishine S10-36 - Dads House,13 November 2023,,,
/tournament/2B4EABB9-4113-49A4-968F-5E07BA3F5511,NCS: Wonder,11 November 2023,,,
/tournament/515389E0-55B6-4D90-BB2C-982F3E78C6B1,SmashUMA: Newt Dispute,11 November 2023,,,
/tournament/269AB0C9-52C4-4023-A1C5-96712A33E74B,The ESG Monthly #19: The SSB Event,11 November 2023,,,
/tournament/7C3A5DAD-776C-4D6F-BDE7-85D979F235F0,The Function 3 [NE Only],11 November 2023,/assets/images/country/flag/us.png,/assets/images/country/regions/us/new_york.png,
/tournament/B9397E35-C266-4CA7-BCDB-5E41151345A4,Pho Tai Melee #26: $50 Pot Bonus!,10 November 2023,,,
/tournament/A2AA2979-359C-4FB5-98A5-C772AB729478,Prodigious Smash Reloaded #108,10 November 2023,,,
/tournament/68291FBD-6247-49DA-9EC1-F3B82AA26360,HoG: Phoenix 5.3,09 November 2023,,,
